,CNY,CNY,CNY,CNY,JPY,JPY,JPY,JPY,GBP,GBP,GBP,GBP,EUR,EUR,EUR,EUR,pd_SP500,pd_SP500,pd_SP500,pd_SP500,SEE,SEE,SEE,SEE,N225,N225,N225,N225,GDAXI,GDAXI,GDAXI,GDAXI,FTSE,FTSE,FTSE,FTSE
,Open,High,Low,Close,Open,High,Low,Close,Open,High,Low,Close,Open,High,Low,Close,Open,High,Low,Close,Open,High,Low,Close,Open,High,Low,Close,Open,High,Low,Close,Open,High,Low,Close
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008/12/04,6.8653,6.8736,6.8638,6.8733,93.137,93.382,92.082,92.45,0.6765,0.68989,0.67531,0.68101,0.78715,0.79599,0.77869,0.78284,869.75,875.599976,833.599976,845.219971,2001.5,2001.5,2001.5,2001.5,8030.200195,8107.689941,7849.839844,7924.240234,4559.97998,4732.930176,4491.859863,4564.22998,4170,4261.100098,4090,4163.600098
2008/12/05,6.8733,6.8733,6.8652,6.8652,92.44,93.318,91.65,92.82,0.68111,0.68719,0.67728,0.68004,0.78266,0.79126,0.78174,0.78635,844.429993,879.419983,818.409973,876.070007,2018.66,2018.66,2018.66,2018.66,7975.049805,8024.330078,7908.649902,7917.509766,4529.200195,4530.700195,4321.640137,4381.470215,4163.600098,4163.600098,4002.199951,4049.399902
2008/12/08,6.8675,6.87,6.8662,6.87,110.09,110.35,109.11,109.24,0.68015,0.68015,0.66503,0.67227,0.67119,0.67485,0.66827,0.67033,882.710022,918.570007,882.710022,909.700012,2090.77,2090.77,2090.77,2090.77,7970.689941,8358.269531,7959.009766,8329.049805,4548.870117,4775.709961,4548.870117,4715.879883,4049.399902,4318,4049.399902,4300.100098
2008/12/09,6.87,6.87,6.8635,6.8635,92.983,93.02,91.93,92.303,0.67271,0.68097,0.67159,0.67755,0.77435,0.7807,0.76947,0.77363,906.47998,916.26001,885.380005,888.669983,2037.74,2037.74,2037.74,2037.74,8362.370117,8499.599609,8314.849609,8395.870117,4673.52002,4850.390137,4622.240234,4779.109863,4300.100098,4413,4232.600098,4381.299805
2008/12/10,6.8635,6.8635,6.851,6.855,92.313,92.99,92.297,92.84,0.67768,0.67829,0.67268,0.67577,0.77355,0.77471,0.76617,0.7684,892.169983,908.27002,885.450012,899.23999,2079.12,2079.12,2079.12,2079.12,8376,8704.919922,8376,8660.240234,4810.47998,4839.140137,4742.899902,4804.879883,4381.299805,4407.100098,4330,4367.299805
2008/12/11,6.855,6.855,6.8409,6.8409,92.831,92.831,91.15,91.53,0.67571,0.67571,0.66317,0.66538,0.76829,0.76872,0.74655,0.75019,898.349976,904.630005,868.72998,873.590027,2031.68,2031.68,2031.68,2031.68,8642.259766,8720.549805,8519.110352,8720.549805,4791.560059,4822.209961,4710.040039,4767.200195,4367.299805,4430.299805,4307.799805,4388.700195
2008/12/12,6.8409,6.8409,6.8325,6.8325,91.52,91.792,88.86,91.07,0.66578,0.67458,0.66164,0.6689,0.75023,0.75441,0.74572,0.74884,871.789978,883.23999,851.349976,879.72998,1954.21,1954.21,1954.21,1954.21,8599.120117,8610.730469,8087.990234,8235.870117,4660.049805,4699.060059,4521.52002,4663.370117,4388.700195,4388.700195,4201.899902,4280.399902
2008/12/15,6.8363,6.84,6.8363,6.8393,90.72,91.3,90.25,90.5,0.66711,0.66979,0.65062,0.65364,0.74405,0.74427,0.72876,0.73014,881.070007,884.630005,857.719971,868.570007,1964.37,1964.37,1964.37,1964.37,8349.849609,8700.169922,8349.849609,8664.660156,4718.390137,4773.319824,4627.459961,4654.819824,4280.399902,4340.700195,4238.899902,4277.600098
